Eric: Include blue columns in website,,,,,,,,,Tags,,,,,,
Filename,Painting Name,Year,Medium,Size (hxw),Height,Width,Pricing Multiplier,Price (CAD),Available,Plein Air,Studio Work,Alberta,Ontario,Still Life,Portrait and Figures
Cai001,Prelude to chocolate covered strawberries,2025,oil on masonite,6x8,6,8,1.75,84,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Cai002,Painting in snowshoes on a frozen lake,2026,oil on masonite,9x12,9,12,1.5,162,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai003,Missouri is slept on,2026,oil on masonite,9x12,9,12,1.75,189,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cai004,Red house,2026,oil on masonite,5x7,5,7,1.5,52.5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai005,Graduation flowers,2026,oil on masonite,9x12,9,12,1.75,189,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Cai006,Tomato and egg (ji dan chao xi hong si),2026,oil on masonite,14x11,14,11,1.75,269.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Cai007,Nic driving,2026,oil on masonite,8x12,8,12,1.5,144,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Cai008,On top of a watch tower,2026,oil on masonite,8x10,8,10,1.5,120,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai009,Young trilliums,2026,oil on masonite,7x5,7,5,1.5,52.5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai010,A rainy morning at the campsite 1,2026,oil on masonite,8x10,8,10,1.5,120,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai011,A rainy morning at the campsite 2,2026,oil on masonite,8x8,8,8,1.5,96,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai012,Farmer's rows on the side of the highway,2026,oil on masonite,14x8,14,8,1.5,168,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai013,Painting a tree (vandalism),2026,oil on masonite,12x8,12,8,1.5,144,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai014,On a ledge,2026,oil on masonite,12x8,12,8,1.5,144,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai015,Ingredients for a lychee ginger lemon drink,2026,oil on masonite,8x10,8,10,1.75,140,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Cai016,Lychee bag,2026,oil on masonite,12x12,12,12,1.75,252,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Cai017,Toronto Island Water 1,2026,oil on masonite,6x8,6,8,1.5,72,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cai018,All beef hot dogs,2026,oil on masonite,8x12,8,12,1.5,144,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cai019,Graduate students see the sun,2026,oil on masonite,8x5,8,5,1.5,60,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Cai020,Toronto Island Water 2,2026,oil on masonite,6x8,6,8,1.5,72,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
